ID_RA;RA;ANO;NATUREZA;COD_NATUREZA;MÊS;QUANTIDADE
1;ARNIQUEIRA;2020;LOCALIZAÇÃO DE VEICULO FURTADO OU ROUBADO;29;12;8
1;ARNIQUEIRA;2020;POSSE/PORTE DE ARMA;30;1;1
1;ARNIQUEIRA;2020;POSSE/PORTE DE ARMA;30;2;2
1;ARNIQUEIRA;2020;POSSE/PORTE DE ARMA;30;3;2
1;ARNIQUEIRA;2020;POSSE/PORTE DE ARMA;30;4;0
1;ARNIQUEIRA;2020;POSSE/PORTE DE ARMA;30;5;1
1;ARNIQUEIRA;2020;POSSE/PORTE DE ARMA;30;6;1
1;ARNIQUEIRA;2020;POSSE/PORTE DE ARMA;30;7;0
1;ARNIQUEIRA;2020;POSSE/PORTE DE ARMA;30;8;1
1;ARNIQUEIRA;2020;POSSE/PORTE DE ARMA;30;9;1
1;ARNIQUEIRA;2020;POSSE/PORTE DE ARMA;30;10;1
1;ARNIQUEIRA;2020;POSSE/PORTE DE ARMA;30;11;4
1;ARNIQUEIRA;2020;POSSE/PORTE DE ARMA;30;12;3
1;ARNIQUEIRA;2020;ROUBO A TRANSEUNTE;3;1;13
1;ARNIQUEIRA;2020;ROUBO A TRANSEUNTE;3;2;18
1;ARNIQUEIRA;2020;ROUBO A TRANSEUNTE;3;3;18
1;ARNIQUEIRA;2020;ROUBO A TRANSEUNTE;3;4;19
1;ARNIQUEIRA;2020;ROUBO A TRANSEUNTE;3;5;30
1;ARNIQUEIRA;2020;ROUBO A TRANSEUNTE;3;6;12
1;ARNIQUEIRA;2020;ROUBO A TRANSEUNTE;3;7;21
1;ARNIQUEIRA;2020;ROUBO A TRANSEUNTE;3;8;14
1;ARNIQUEIRA;2020;ROUBO A TRANSEUNTE;3;9;11
1;ARNIQUEIRA;2020;ROUBO A TRANSEUNTE;3;10;13
1;ARNIQUEIRA;2020;ROUBO A TRANSEUNTE;3;11;4
1;ARNIQUEIRA;2020;ROUBO A TRANSEUNTE;3;12;12
1;ARNIQUEIRA;2020;ROUBO DE VEÍCULO;8;1;4
1;ARNIQUEIRA;2020;ROUBO DE VEÍCULO;8;2;1
1;ARNIQUEIRA;2020;ROUBO DE VEÍCULO;8;3;1
1;ARNIQUEIRA;2020;ROUBO DE VEÍCULO;8;4;2
1;ARNIQUEIRA;2020;ROUBO DE VEÍCULO;8;5;4
1;ARNIQUEIRA;2020;ROUBO DE VEÍCULO;8;6;1
1;ARNIQUEIRA;2020;ROUBO DE VEÍCULO;8;7;4
1;ARNIQUEIRA;2020;ROUBO DE VEÍCULO;8;8;5
