id;natureza;mes;ano;quantidade
118;FURTO EM VEICULO;10;2024;593
119;FURTO EM VEICULO;11;2024;480
120;FURTO EM VEICULO;12;2024;436
121;TENTATIVA DE HOMICIDIO;1;2024;47
122;TENTATIVA DE HOMICIDIO;2;2024;47
123;TENTATIVA DE HOMICIDIO;3;2024;40
124;TENTATIVA DE HOMICIDIO;4;2024;42
125;TENTATIVA DE HOMICIDIO;5;2024;35
126;TENTATIVA DE HOMICIDIO;6;2024;37
127;TENTATIVA DE HOMICIDIO;7;2024;34
128;TENTATIVA DE HOMICIDIO;8;2024;45
129;TENTATIVA DE HOMICIDIO;9;2024;49
130;TENTATIVA DE HOMICIDIO;10;2024;62
131;TENTATIVA DE HOMICIDIO;11;2024;38
132;TENTATIVA DE HOMICIDIO;12;2024;45
133;TENTATIVA DE FEMINICIDIO;1;2024;9
134;TENTATIVA DE FEMINICIDIO;2;2024;8
135;TENTATIVA DE FEMINICIDIO;3;2024;9
136;TENTATIVA DE FEMINICIDIO;4;2024;6
137;TENTATIVA DE FEMINICIDIO;5;2024;5
138;TENTATIVA DE FEMINICIDIO;6;2024;5
139;TENTATIVA DE FEMINICIDIO;7;2024;7
140;TENTATIVA DE FEMINICIDIO;8;2024;5
141;TENTATIVA DE FEMINICIDIO;9;2024;16
142;TENTATIVA DE FEMINICIDIO;10;2024;14
143;TENTATIVA DE FEMINICIDIO;11;2024;7
144;TENTATIVA DE FEMINICIDIO;12;2024;11
145;TENTATIVA DE LATROCINIO;1;2024;6
146;TENTATIVA DE LATROCINIO;2;2024;6
147;TENTATIVA DE LATROCINIO;3;2024;9
148;TENTATIVA DE LATROCINIO;4;2024;4
149;TENTATIVA DE LATROCINIO;5;2024;6
150;TENTATIVA DE LATROCINIO;6;2024;7
151;TENTATIVA DE LATROCINIO;7;2024;5
152;TENTATIVA DE LATROCINIO;8;2024;4
153;TENTATIVA DE LATROCINIO;9;2024;3
154;TENTATIVA DE LATROCINIO;10;2024;12
155;TENTATIVA DE LATROCINIO;11;2024;5
156;TENTATIVA DE LATROCINIO;12;2024;10
157;ESTUPRO;1;2024;35
158;ESTUPRO;2;2024;27
159;ESTUPRO;3;2024;16
160;ESTUPRO;4;2024;26
161;ESTUPRO;5;2024;30
162;ESTUPRO;6;2024;35
163;ESTUPRO;7;2024;21
164;ESTUPRO;8;2024;28
165;ESTUPRO;9;2024;32
166;ESTUPRO;10;2024;26
167;ESTUPRO;11;2024;29
168;ESTUPRO;12;2024;14
169;ESTUPRO DE VULNERAVEL;1;2024;48
170;ESTUPRO DE VULNERAVEL;2;2024;52
171;ESTUPRO DE VULNERAVEL;3;2024;55
172;ESTUPRO DE VULNERAVEL;4;2024;49
173;ESTUPRO DE VULNERAVEL;5;2024;66
174;ESTUPRO DE VULNERAVEL;6;2024;62
175;ESTUPRO DE VULNERAVEL;7;2024;44
176;ESTUPRO DE VULNERAVEL;8;2024;49
177;ESTUPRO DE VULNERAVEL;9;2024;63
178;ESTUPRO DE VULNERAVEL;10;2024;44
179;ESTUPRO DE VULNERAVEL;11;2024;50
180;ESTUPRO DE VULNERAVEL;12;2024;38
181;TRAFICO DE DROGAS;1;2024;223
182;TRAFICO DE DROGAS;2;2024;205
183;TRAFICO DE DROGAS;3;2024;197
184;TRAFICO DE DROGAS;4;2024;217
185;TRAFICO DE DROGAS;5;2024;185
186;TRAFICO DE DROGAS;6;2024;249
187;TRAFICO DE DROGAS;7;2024;228
188;TRAFICO DE DROGAS;8;2024;228
189;TRAFICO DE DROGAS;9;2024;232
190;TRAFICO DE DROGAS;10;2024;222
191;TRAFICO DE DROGAS;11;2024;203
192;TRAFICO DE DROGAS;12;2024;207
193;USO E PORTE DE DROGAS;1;2024;379
194;USO E PORTE DE DROGAS;2;2024;323
195;USO E PORTE DE DROGAS;3;2024;322
196;USO E PORTE DE DROGAS;4;2024;314
197;USO E PORTE DE DROGAS;5;2024;277
198;USO E PORTE DE DROGAS;6;2024;306
199;USO E PORTE DE DROGAS;7;2024;188
200;USO E PORTE DE DROGAS;8;2024;147
201;USO E PORTE DE DROGAS;9;2024;141
202;USO E PORTE DE DROGAS;10;2024;140
203;USO E PORTE DE DROGAS;11;2024;140
204;USO E PORTE DE DROGAS;12;2024;175
205;POSSE/PORTE DE ARMA DE FOGO;1;2024;90
206;POSSE/PORTE DE ARMA DE FOGO;2;2024;90
207;POSSE/PORTE DE ARMA DE FOGO;3;2024;95
208;POSSE/PORTE DE ARMA DE FOGO;4;2024;88
209;POSSE/PORTE DE ARMA DE FOGO;5;2024;91
210;POSSE/PORTE DE ARMA DE FOGO;6;2024;82
211;POSSE/PORTE DE ARMA DE FOGO;7;2024;88
212;POSSE/PORTE DE ARMA DE FOGO;8;2024;81
213;POSSE/PORTE DE ARMA DE FOGO;9;2024;80
214;POSSE/PORTE DE ARMA DE FOGO;10;2024;82
215;POSSE/PORTE DE ARMA DE FOGO;11;2024;61
216;POSSE/PORTE DE ARMA DE FOGO;12;2024;93
217;LOCALIZACÃO DE VEICULO FURTADO OU ROUBADO;1;2024;235
218;LOCALIZACÃO DE VEICULO FURTADO OU ROUBADO;2;2024;183
219;LOCALIZACÃO DE VEICULO FURTADO OU ROUBADO;3;2024;235
220;LOCALIZACÃO DE VEICULO FURTADO OU ROUBADO;4;2024;219
221;LOCALIZACÃO DE VEICULO FURTADO OU ROUBADO;5;2024;258
222;LOCALIZACÃO DE VEICULO FURTADO OU ROUBADO;6;2024;203
223;LOCALIZACÃO DE VEICULO FURTADO OU ROUBADO;7;2024;212
224;LOCALIZACÃO DE VEICULO FURTADO OU ROUBADO;8;2024;224
225;LOCALIZACÃO DE VEICULO FURTADO OU ROUBADO;9;2024;200
226;LOCALIZACÃO DE VEICULO FURTADO OU ROUBADO;10;2024;206
227;LOCALIZACÃO DE VEICULO FURTADO OU ROUBADO;11;2024;177
228;LOCALIZACÃO DE VEICULO FURTADO OU ROUBADO;12;2024;215
